property_id,lot_area,land_contour,lot_config,neighborhood,bldg_type,house_style,overall_qual,overall_cond,roof_style,foundation,gr_liv_area,bedroom_abv_gr,fireplaces,yr_sold,sale_condition,lot_frontage,exterior1st,sale_type,fence,garage_type,mas_vnr_type,garage_cars,bsmt_fin_sf1,bsmt_fin_sf2,total_bsmt_sf,porcentaje_sotano_terminado,total_outdoor_space,has_outdoor_space,lot_coverage_pct,garage_age,house_age,years_since_remodel,has_been_remodeled,total_bathrooms,is_noisy,mo_sold_sin,mo_sold_cos,es_temporada_alta,total_living_porch,total_outdoor_deck,has_gas_heating,has_central_air,is_single_kitchen,has_standard_electrical,exter_qual,exter_cond,bsmt_qual,heating_qc,kitchen_qual,fireplace_qu,functional,bsmt_fin_type2,bsmt_exposure,lot_shape,garage_finish,paved_drive,land_slope,alley,log_sale_price,deterioration_index,needs_urgent_repair,edad_efectiva,penalizacion_condicion
1395,4045,Lvl,Inside,Blmngtn,TwnhsE,1Story,7,5,Hip,PConc,1500,2,1,2006,Partial,53.0,VinylSd,New,None,Attchd,BrkFace,3,1070,0,1356,0.78908554572271383,181,1,0.37082818294190356,0,0,0,0,3.0,0,-0.8660254037844386,0.50000000000000011,0,0,181,1,1,1,1,4,3,4,5,4,4,7,1,3,3,3,2,2,0,12.415433652431746,2,0,0,0
640,3982,Lvl,Inside,Blmngtn,TwnhsE,1Story,8,5,Hip,PConc,1567,1,1,2006,Partial,53.0,VinylSd,New,None,Attchd,None,3,1154,0,1520,0.75921052631578945,312,1,0.39352084379708691,0,0,0,0,3.0,0,-0.8660254037844386,0.50000000000000011,0,0,312,1,1,1,1,4,3,4,5,5,4,7,1,3,3,3,2,2,0,12.485827127509431,2,0,0,0
983,3182,Lvl,Inside,Blmngtn,1Fam,1Story,7,5,Gable,PConc,1266,2,1,2008,Normal,43.0,VinylSd,WD,None,Attchd,BrkFace,2,0,0,1266,0.0,116,1,0.39786297925832809,1,1,1,0,2.0,0,1.0,6.123233995736766e-17,0,0,116,1,1,1,1,4,3,4,5,4,4,7,1,3,3,3,2,2,0,11.982272628789678,2,0,0,0
1020,3013,Lvl,Inside,Blmngtn,TwnhsE,1Story,7,5,Gable,PConc,1506,2,1,2006,Normal,43.0,VinylSd,WD,None,Attchd,BrkFace,2,16,0,1362,0.011747430249632892,162,1,0.49983405243942913,1,1,1,0,2.0,0,0.86602540378443871,-0.49999999999999978,1,0,162,1,1,1,1,4,3,4,5,4,4,7,1,4,3,3,2,2,0,12.27134527214637,2,0,0,0
598,3922,Lvl,Inside,Blmngtn,TwnhsE,1Story,7,5,Gable,PConc,1402,2,1,2007,Partial,53.0,VinylSd,New,None,Attchd,BrkFace,3,0,0,1258,0.0,136,1,0.35747067822539519,1,1,0,1,2.0,0,0.8660254037844386,0.50000000000000011,0,0,136,1,1,1,1,4,3,5,5,4,4,7,1,3,3,3,2,2,0,12.176648984156691,2,0,1,0
444,3922,Lvl,Inside,Blmngtn,TwnhsE,1Story,7,5,Gable,PConc,1258,2,1,2007,Partial,53.0,WdShing,New,None,Attchd,BrkFace,3,0,0,1258,0.0,160,1,0.32075471698113206,0,1,0,1,2.0,0,1.2246467991473532e-16,-1.0,1,0,160,1,1,1,1,4,3,5,5,4,4,7,1,3,3,3,2,2,0,12.058152515453552,2,0,1,0
220,3010,Lvl,Inside,Blmngtn,TwnhsE,1Story,7,5,Gable,PConc,1248,2,0,2006,Partial,43.0,VinylSd,New,None,Attchd,BrkFace,2,16,0,1248,0.01282051282051282,108,1,0.41461794019933557,1,1,0,1,2.0,0,1.0,6.123233995736766e-17,0,0,108,1,1,1,1,4,3,4,5,4,0,7,1,3,3,3,2,2,0,12.0271851854705,2,0,1,0
1127,3684,Lvl,Inside,Blmngtn,TwnhsE,1Story,7,5,Hip,PConc,1555,2,1,2009,Normal,53.0,VinylSd,WD,None,Attchd,BrkFace,3,0,0,1373,0.0,163,1,0.42209554831704671,2,2,2,0,2.0,0,1.2246467991473532e-16,-1.0,1,0,163,1,1,1,1,4,3,4,5,4,3,7,1,1,3,3,2,2,0,12.066810578196666,2,0,0,0
1416,3635,Lvl,Inside,Blmngtn,TwnhsE,1Story,7,5,Hip,PConc,1569,1,1,2009,Normal,51.0,VinylSd,WD,None,Attchd,BrkFace,3,988,0,1386,0.71284271284271283,163,1,0.43163686382393396,2,2,2,0,2.5,0,0.49999999999999994,-0.86602540378443871,1,0,163,1,1,1,1,4,3,4,5,4,3,7,1,1,3,2,2,2,0,12.077670930725649,2,0,0,0
466,3072,Lvl,Inside,Blmngtn,TwnhsE,1Story,7,5,Hip,PConc,1414,2,1,2006,Normal,43.0,VinylSd,WD,None,Attchd,BrkFace,2,0,0,1375,0.0,164,1,0.46028645833333331,2,2,2,0,2.0,0,0.49999999999999994,-0.86602540378443871,1,0,164,1,1,1,1,4,3,4,5,4,3,7,1,1,3,3,2,2,0,12.093687514935382,2,0,0,0
1024,3182,Lvl,Inside,Blmngtn,TwnhsE,1Story,7,5,Gable,PConc,1504,2,1,2008,Normal,43.0,VinylSd,WD,None,Attchd,BrkFace,2,16,0,1346,0.01188707280832095,176,1,0.47265870521684478,3,3,2,1,2.0,0,0.49999999999999994,-0.86602540378443871,1,0,176,1,1,1,1,4,3,4,5,4,4,7,1,1,3,3,2,2,0,12.160028707028767,2,0,1,0
852,3196,Lvl,Inside,Blmngtn,TwnhsE,1Story,8,5,Gable,PConc,1456,2,1,2006,Normal,43.0,VinylSd,WD,None,Attchd,BrkFace,2,0,0,1273,0.0,163,1,0.45556946182728408,3,3,3,0,2.0,0,0.49999999999999994,-0.86602540378443871,1,0,163,1,1,1,1,4,3,4,5,4,3,7,1,4,3,3,2,2,0,12.2783933071098,2,0,0,0
560,3196,Lvl,Inside,Blmngtn,TwnhsE,1Story,7,5,Gable,PConc,1557,2,1,2006,Normal,43.0,VinylSd,WD,None,Attchd,BrkFace,2,0,0,1374,0.0,163,1,0.48717146433041303,3,3,2,1,2.0,0,-0.8660254037844386,0.50000000000000011,0,0,163,1,1,1,1,4,3,4,5,4,3,7,1,4,3,3,2,2,0,12.363076394339839,2,0,1,0
1005,3182,Lvl,Inside,Blmngtn,TwnhsE,1Story,7,5,Gable,PConc,1504,1,1,2009,Normal,43.0,VinylSd,WD,None,Attchd,BrkFace,2,16,0,1346,0.01188707280832095,156,1,0.47265870521684478,4,4,3,1,2.0,0,0.49999999999999994,-0.86602540378443871,1,0,156,1,1,1,1,4,3,4,5,4,4,7,1,1,3,3,2,2,0,12.106252310247962,2,0,1,0
230,3182,Lvl,Inside,Blmngtn,TwnhsE,1Story,7,5,Gable,PConc,1555,2,1,2009,Normal,43.0,VinylSd,WD,None,Attchd,BrkFace,2,16,0,1373,0.011653313911143482,163,1,0.48868636077938404,4,4,3,1,2.0,0,0.49999999999999994,-0.86602540378443871,1,0,163,1,1,1,1,4,3,4,5,4,3,7,1,3,3,3,2,2,0,12.167851432709975,2,0,1,0
791,3182,Lvl,Inside,Blmngtn,TwnhsE,1Story,7,5,Gable,PConc,1145,2,1,2009,Normal,43.0,VinylSd,WD,None,Attchd,BrkFace,2,16,0,1145,0.013973799126637555,116,1,0.35983658076681335,4,4,3,1,2.0,0,-1.0,-1.8369701987210297e-16,0,0,116,1,1,1,1,4,3,4,5,4,4,7,1,1,3,3,2,2,0,11.984178313616395,2,0,1,0
386,3182,Lvl,Inside,Blmngtn,TwnhsE,1Story,8,5,Gable,PConc,1269,2,1,2010,Normal,43.0,VinylSd,WD,None,Attchd,BrkFace,2,24,0,1256,0.019108280254777069,310,1,0.39880578252671278,6,6,5,1,2.0,0,0.86602540378443871,-0.49999999999999978,1,144,166,1,1,1,1,4,3,4,5,4,3,7,1,1,3,3,2,2,0,12.165250651009918,2,0,1,0
600,1950,Lvl,Inside,Blueste,Twnhs,2Story,6,6,Gable,CBlock,1556,3,1,2008,Normal,24.0,MetalSd,COD,GdPrv,Attchd,None,2,81,612,716,0.96787709497206709,161,1,0.79794871794871791,28,28,28,0,3.5,0,-0.49999999999999972,-0.86602540378443882,1,0,161,1,1,1,1,3,4,4,3,3,3,7,6,1,3,3,2,2,0,11.925035115797062,3,0,0,0
957,1300,Lvl,Inside,Blueste,TwnhsE,2Story,6,6,Gable,CBlock,1229,2,1,2009,Normal,24.0,MetalSd,WD,GdPrv,Attchd,None,2,285,0,561,0.50802139037433158,150,1,0.94538461538461538,29,29,29,0,1.5,0,0.49999999999999994,-0.86602540378443871,1,0,150,1,1,1,1,3,3,4,3,3,3,7,1,1,3,3,2,2,0,11.728036844587175,4,0,0,0
1379,1953,Lvl,Inside,BrDale,Twnhs,2Story,6,5,Gable,CBlock,987,2,0,2006,Normal,21.0,HdBoard,WD,None,Detchd,BrkFace,1,309,0,483,0.639751552795031,72,1,0.5053763440860215,33,33,33,0,1.5,0,1.2246467991473532e-16,-1.0,1,0,72,1,1,1,1,3,3,3,3,3,0,7,1,1,3,1,2,2,0,11.326595886778735,4,0,0,0
233,1680,Lvl,Inside,BrDale,Twnhs,2Story,6,5,Gable,CBlock,987,2,1,2006,Normal,21.0,HdBoard,WD,None,Attchd,BrkFace,1,0,0,483,0.0,0,0,0.5875,34,34,34,0,1.5,0,1.2246467991473532e-16,-1.0,1,0,0,1,1,1,1,3,3,3,3,3,1,7,1,1,3,1,2,2,0,11.456355113481834,4,0,0,0
1030,1680,Lvl,Inside,BrDale,Twnhs,2Story,6,7,Gable,CBlock,1218,3,0,2006,Normal,21.0,HdBoard,WD,None,Detchd,BrkFace,1,317,0,672,0.47172619047619047,28,1,0.725,34,34,34,0,2.0,0,0.49999999999999994,-0.86602540378443871,1,0,28,1,1,1,1,3,3,3,4,3,0,7,1,1,3,1,2,2,0,11.678439903447801,3,0,0,0
501,1890,Lvl,Inside,BrDale,Twnhs,2Story,6,5,Gable,CBlock,1218,3,0,2007,Normal,21.0,HdBoard,WD,None,Detchd,BrkFace,1,356,0,672,0.52976190476190477,172,1,0.64444444444444449,34,34,34,0,1.5,0,0.49999999999999994,-0.86602540378443871,1,0,172,1,1,1,1,3,3,3,3,3,0,7,1,1,3,1,2,2,0,11.635143097694478,4,0,0,0
838,1680,Lvl,Inside,BrDale,Twnhs,2Story,6,5,Gable,CBlock,987,2,0,2008,Normal,21.0,HdBoard,WD,None,Detchd,BrkFace,1,330,0,483,0.68322981366459623,0,0,0.5875,35,35,35,0,2.5,0,-0.50000000000000044,0.86602540378443837,0,0,0,1,1,1,1,3,3,3,3,3,0,7,1,1,3,1,2,2,0,11.512925464970229,4,0,0,0
1220,1680,Lvl,Inside,BrDale,Twnhs,2Story,6,5,Gable,CBlock,1218,3,0,2006,Abnorml,21.0,CemntBd,WD,None,None,BrkFace,0,0,0,672,0.0,201,1,0.725,-999,35,35,0,1.5,0,0.86602540378443871,-0.49999999999999978,1,0,201,1,1,1,1,3,3,3,3,3,0,7,1,1,3,0,0,2,0,11.424094251263613,4,0,0,0
433,1920,Lvl,Inside,BrDale,TwnhsE,2Story,5,5,Gable,CBlock,1365,2,0,2007,Normal,24.0,HdBoard,WD,None,Detchd,BrkFace,2,471,0,765,0.615686274509804,276,1,0.7109375,36,36,36,0,2.5,0,-0.86602540378443837,-0.50000000000000044,0,0,276,1,1,1,1,3,3,3,5,3,0,6,1,1,3,1,2,2,0,11.715866308966918,2,0,0,0
1292,1680,Lvl,Inside,BrDale,Twnhs,2Story,5,7,Gable,CBlock,1302,3,0,2009,Normal,21.0,CemntBd,WD,None,Detchd,BrkFace,1,231,0,630,0.36666666666666664,185,1,0.775,37,37,37,0,2.5,0,0.8660254037844386,0.50000000000000011,0,0,185,1,1,1,1,3,3,3,3,3,0,7,1,1,3,1,2,2,0,11.691071650353702,4,0,0,0
364,1680,Lvl,Inside,BrDale,Twnhs,2Story,6,8,Gable,CBlock,987,2,0,2009,Normal,21.0,HdBoard,WD,None,Detchd,BrkFace,1,162,0,483,0.33540372670807456,250,1,0.5875,37,37,2,1,1.5,0,0.49999999999999994,-0.86602540378443871,1,0,250,1,1,1,1,3,3,3,4,4,0,7,1,1,3,1,2,2,0,11.678439903447801,3,0,35,0
1105,2016,Lvl,Inside,BrDale,TwnhsE,2Story,5,5,Gable,CBlock,1302,3,0,2007,Normal,24.0,HdBoard,WD,None,Detchd,BrkFace,2,0,0,630,0.0,0,0,0.64583333333333337,37,37,37,0,2.5,0,0.86602540378443871,-0.49999999999999978,1,0,0,1,1,1,1,3,3,3,3,3,0,7,1,1,3,1,2,2,0,11.571194373094205,4,0,0,0
431,1680,Lvl,Inside,BrDale,Twnhs,2Story,6,5,Gable,CBlock,987,2,0,2008,Abnorml,21.0,HdBoard,COD,None,Detchd,BrkFace,1,387,0,483,0.80124223602484468,0,0,0.5875,37,37,37,0,1.5,0,-0.49999999999999972,-0.86602540378443882,1,0,0,1,1,1,1,3,3,3,3,3,0,7,1,1,3,1,2,2,0,11.355101379776661,4,0,0,0
236,1680,Lvl,Inside,BrDale,TwnhsE,2Story,6,3,Gable,CBlock,987,2,0,2008,Normal,21.0,HdBoard,WD,None,Detchd,BrkFace,1,358,0,483,0.74120082815734989,0,0,0.5875,37,37,37,0,1.5,0,-0.86602540378443837,-0.50000000000000044,0,0,0,1,1,1,1,3,3,3,3,3,0,7,1,1,3,1,2,2,0,11.401993904262946,4,0,0,0
228,1869,Lvl,Inside,BrDale,Twnhs,2Story,6,6,Gable,CBlock,987,2,0,2008,Normal,21.0,HdBoard,WD,None,Detchd,BrkFace,1,321,0,483,0.6645962732919255,0,0,0.5280898876404494,21,38,38,0,1.5,0,-1.0,-1.8369701987210297e-16,0,0,0,1,1,1,1,3,3,3,3,3,0,7,1,1,3,1,2,2,0,11.571194373094205,4,0,0,0
226,1680,Lvl,Inside,BrDale,Twnhs,2Story,5,5,Gable,CBlock,1302,3,0,2009,Abnorml,21.0,HdBoard,COD,None,Detchd,BrkFace,1,0,0,630,0.0,0,0,0.775,18,38,38,0,2.5,0,0.49999999999999994,-0.86602540378443871,1,0,0,1,1,1,1,3,3,3,3,3,0,7,1,1,3,1,2,2,0,11.626254150277232,4,0,0,0
1335,2368,Lvl,Inside,BrDale,TwnhsE,2Story,5,6,Gable,CBlock,1365,3,0,2009,Normal,24.0,HdBoard,WD,None,Attchd,None,2,765,0,765,1.0,36,1,0.57643581081081086,39,39,39,0,1.5,0,0.49999999999999994,-0.86602540378443871,1,0,36,1,1,1,1,3,3,3,3,3,0,6,1,1,3,1,2,2,0,11.736069016284437,4,0,0,0
