property_id,lot_area,land_contour,lot_config,neighborhood,bldg_type,house_style,overall_qual,overall_cond,roof_style,foundation,gr_liv_area,bedroom_abv_gr,fireplaces,yr_sold,sale_condition,lot_frontage,exterior1st,sale_type,fence,garage_type,mas_vnr_type,garage_cars,bsmt_fin_sf1,bsmt_fin_sf2,total_bsmt_sf,porcentaje_sotano_terminado,lot_coverage_pct,garage_age,house_age,years_since_remodel,has_been_remodeled,total_outdoor_space,has_outdoor_space,total_bathrooms,is_noisy,mo_sold_sin,mo_sold_cos,es_temporada_alta,total_living_porch,total_outdoor_deck,has_standard_roof,has_gas_heating,has_central_air,is_single_kitchen,has_standard_electrical,exter_qual,exter_cond,bsmt_qual,heating_qc,kitchen_qual,fireplace_qu,functional,bsmt_fin_type2,bsmt_exposure,lot_shape,garage_finish,paved_drive,land_slope,alley,deterioration_index,needs_urgent_repair,edad_efectiva,penalizacion_condicion
2058,14670,Lvl,Inside,NAmes,1Fam,2Story,6,7,Gable,CBlock,1988,4,1,2008,Normal,90,VinylSd,WD,MnPrv,Attchd,BrkFace,2,575,0,1104,0.52083333333333337,0.13551465576005453,42,42,9,1,230,1,2.5,0,-0.86602540378443837,-0.50000000000000044,0,0,230,1,1,1,1,1,4,4,3,5,4,4,7,1,1,3,2,2,2,0,1,0,33,0
2019,8100,Lvl,Inside,Sawyer,1Fam,1Story,5,8,Gable,CBlock,864,3,1,2008,Normal,75,Wd Sdng,WD,None,Detchd,None,1,764,0,864,0.8842592592592593,0.10666666666666667,46,47,1,1,132,1,2,1,-0.49999999999999972,-0.86602540378443882,1,0,132,1,1,1,1,1,3,4,3,5,4,3,7,1,1,3,1,2,2,0,1,0,46,1
2414,11556,Lvl,Inside,NAmes,1Fam,1Story,5,9,Gable,CBlock,1154,3,0,2007,Normal,60,VinylSd,WD,None,Detchd,None,1,408,0,864,0.47222222222222221,0.099861543786777432,45,54,1,1,63,1,1.5,0,-0.49999999999999972,-0.86602540378443882,1,0,63,1,1,1,1,1,3,5,3,4,5,0,7,1,1,3,1,2,2,0,1,0,53,1
2690,13162,Lvl,Corner,Somerst,1Fam,2Story,9,5,Gable,PConc,2640,3,1,2006,Partial,100,VinylSd,New,None,Attchd,None,3,1836,0,2036,0.9017681728880157,0.20057741984500835,0,0,0,0,265,1,4.5,1,-0.50000000000000044,0.86602540378443837,0,0,265,1,1,1,1,1,4,3,5,5,5,4,7,1,1,3,2,2,2,0,2,0,0,0
2631,16052,Lvl,CulDSac,StoneBr,1Fam,2Story,10,5,Hip,PConc,2698,4,1,2006,Partial,82,VinylSd,New,None,Attchd,Stone,3,1206,0,1850,0.65189189189189189,0.16807874408173437,0,0,0,0,250,1,3.5,0,-0.49999999999999972,-0.86602540378443882,1,0,250,1,1,1,1,1,5,3,5,5,5,4,7,1,1,2,2,2,2,0,2,0,0,0
1973,8899,Lvl,Inside,NridgHt,1Fam,2Story,8,5,Hip,PConc,2088,4,1,2008,Normal,74,VinylSd,WD,None,BuiltIn,Stone,3,40,0,948,0.042194092827004218,0.23463310484324082,1,1,1,0,124,1,2.5,0,1.2246467991473532e-16,-1,1,0,124,1,1,1,1,1,5,3,4,5,4,4,7,1,3,3,3,2,2,0,2,0,0,0
1573,17485,Lvl,Inside,Edwards,1Fam,1Story,7,5,Gable,PConc,1508,1,2,2010,Partial,44,VinylSd,Con,None,Attchd,Stone,2,1346,0,1508,0.89257294429708223,0.0862453531598513,1,1,0,1,0,0,2,0,0.49999999999999994,0.86602540378443871,0,0,0,1,1,1,1,1,4,3,4,5,4,3,7,1,4,1,2,2,2,0,2,0,1,0
1866,10816,Lvl,Inside,CollgCr,1Fam,1Story,9,5,Gable,PConc,1720,3,1,2009,Normal,65,VinylSd,WD,None,Attchd,Stone,3,1104,0,1720,0.641860465116279,0.15902366863905326,1,1,1,0,312,1,3,0,-0.50000000000000044,0.86602540378443837,0,0,312,1,1,1,1,1,5,3,5,5,5,4,7,1,4,2,2,2,2,0,2,0,0,0
2866,2522,Lvl,Inside,Edwards,Twnhs,2Story,7,5,Gable,PConc,1709,3,0,2006,Normal,24,VinylSd,WD,None,Detchd,Stone,2,0,0,970,0,0.67763679619349726,2,2,2,0,40,1,2,0,0.49999999999999994,-0.86602540378443871,1,0,40,1,1,1,1,1,4,3,4,5,4,0,3,1,1,3,1,2,2,0,2,0,0,0
1975,12720,HLS,Inside,NridgHt,1Fam,1Story,10,5,Hip,PConc,2470,1,2,2008,Normal,106,MetalSd,WD,None,Attchd,Stone,3,2257,0,2535,0.89033530571992114,0.19418238993710693,5,5,5,0,435,1,3.5,0,0.8660254037844386,0.50000000000000011,0,216,219,1,1,1,1,1,5,3,5,5,5,4,7,1,4,3,3,2,1,0,2,0,0,0
